total_pop,median_income,poverty_all,poverty_count,no_vehicle_hh,edu_bachelors,edu_masters,edu_professional,edu_doctorate,edu_total,owner_hh,renter_hh,hh_total,limited_english,limited_english_total,state,county,tract,GEOID,poverty_rate,poverty_rate_c,edu_bachelors_plus,pct_bachelors_plus,pct_renters,pct_limited_english
6411,17446,6405,3082,93,371,76,0,0,4160,131,2145,2276,209,6049,36,005,017300,36005017300,0.4811865729898517,0.3158275619892862,447,0.10745192307692308,0.9424428822495606,0.034551165481897836
6116,26463,6089,1852,0,311,80,23,0,3880,0,2831,2831,75,5699,36,005,017500,36005017500,0.30415503366726887,0.13879602266670335,414,0.10670103092783505,1,0.013160203544481488
4717,30375,4350,2196,0,279,90,20,0,3177,74,1300,1374,101,4224,36,005,017701,36005017701,0.5048275862068966,0.3394685752063311,389,0.12244255587031791,0.9461426491994177,0.023910984848484848
5480,47963,5480,1783,198,453,107,0,7,3344,264,1393,1657,80,5121,36,005,017702,36005017702,0.32536496350364963,0.1600059525030841,567,0.16955741626794257,0.8406759203379601,0.015621948838117555
5096,47035,5096,1150,75,328,88,0,0,3539,133,1553,1686,105,4775,36,005,017901,36005017901,0.22566718995290425,0.060308178952338726,416,0.11754732975416785,0.9211150652431791,0.021989529
3816,41475,3816,941,0,292,161,0,0,2208,0,1319,1319,37,3485,36,005,017902,36005017902,0.24659329140461217,0.08123428,453,0.20516304347826086,1,0.010616929698708751
3215,-666666666,3211,1181,44,126,37,0,0,1647,88,952,1040,128,2877,36,005,018101,36005018101,0.36779819370912487,0.20243918270855935,163,0.09896782,0.9153846153846154,0.044490789
5453,33950,5222,1522,15,261,111,40,0,3519,41,2139,2180,53,5067,36,005,018102,36005018102,0.2914592110302566,0.1261002000296911,412,0.1170787155441887,0.9811926605504587,0.010459838168541543
4665,56508,4665,687,195,495,307,97,9,3384,442,1574,2016,88,4398,36,005,018301,36005018301,0.1472668810289389,-0.01809213,908,0.26832151300236406,0.7807539682539683,0.020009095043201454
3680,72540,3680,428,54,174,107,24,0,2410,95,1365,1460,25,3541,36,005,018302,36005018302,0.11630434782608695,-0.049054663,305,0.12655601659751037,0.934931507,0.007060152
4085,117819,4085,366,24,585,150,0,11,2813,604,803,1407,68,3726,36,005,018400,36005018400,0.089596083,-0.075762928,746,0.26519729825808747,0.5707178393745558,0.018250134
2783,50177,2783,906,0,290,196,0,0,1715,0,1240,1240,31,2593,36,005,018501,36005018501,0.3255479698167445,0.16018895881617898,486,0.28338192419825076,1,0.011955264
6314,21635,6241,2827,11,327,41,32,0,3963,48,2052,2100,82,5362,36,005,018502,36005018502,0.45297228008331997,0.2876132690827544,400,0.10093363613424174,0.9771428571428571,0.015292801193584483
8460,45770,8257,2856,44,810,180,35,0,4878,71,2786,2857,71,7796,36,005,018900,36005018900,0.3458883371684631,0.1805293261678976,1025,0.21012710127101272,0.9751487574378719,0.009107234
5933,38663,5933,1494,58,441,226,0,0,3946,58,2352,2410,124,5631,36,005,019300,36005019300,0.2518118995449182,0.086452889,667,0.1690319310694374,0.9759336099585062,0.022020955425324097
2070,70185,2070,419,41,292,59,6,0,1466,378,350,728,31,2003,36,005,019400,36005019400,0.20241545893719806,0.037056448,357,0.24351978171896316,0.4807692307692308,0.015476785
7143,33412,7035,3371,74,269,196,23,0,4837,119,2531,2650,36,6836,36,005,019500,36005019500,0.47917555081734187,0.3138165398167764,488,0.10088898077320653,0.9550943396226416,0.005266238
7830,34871,7652,3880,0,252,234,0,0,4595,0,2513,2513,115,7356,36,005,019700,36005019700,0.5070569785676947,0.3416979675671292,486,0.1057671381936888,1,0.015633496465470364
7496,35139,7443,2515,79,413,191,56,42,5051,210,3041,3251,147,6957,36,005,019900,36005019900,0.33790138385059787,0.17254237285003235,702,0.1389823797267868,0.935404491,0.021129797
4935,46021,4930,1173,89,515,214,22,0,2989,270,1221,1491,101,4600,36,005,020000,36005020000,0.23793103448275862,0.072572023,751,0.25125460020073603,0.8189134808853119,0.021956521739130434
3868,37433,3855,1585,0,168,66,0,0,2306,0,1351,1351,118,3647,36,005,020100,36005020100,0.41115434500648507,0.24579533400591955,234,0.10147441457068516,1,0.032355361
2578,53651,2548,564,62,228,128,16,0,1764,187,785,972,20,2438,36,005,020200,36005020200,0.22135007849293564,0.055991067,372,0.2108843537414966,0.8076131687242798,0.008203445
3012,59138,3003,536,56,224,95,33,13,1855,182,847,1029,0,2629,36,005,020400,36005020400,0.1784881784881785,0.013129167487612975,365,0.1967654986522911,0.8231292517006803,0
7271,17056,7271,4367,53,268,91,0,0,4402,102,2599,2701,186,6609,36,005,020501,36005020501,0.6006051437216339,0.4352461327210684,359,0.081553839,0.9622362088115513,0.028143441
2605,28510,2593,718,69,269,78,0,10,1824,159,889,1048,62,2503,36,005,020502,36005020502,0.2768993443887389,0.1115403333881734,357,0.19572368421052633,0.8482824427480916,0.024770275669196963
2528,55648,2512,799,0,241,80,4,0,1734,293,697,990,21,2386,36,005,020601,36005020601,0.31807324840764334,0.15271423740707782,325,0.18742791234140715,0.704040404,0.008801341
4867,44769,4855,1118,33,305,83,6,0,3148,33,1932,1965,48,4532,36,005,020900,36005020900,0.23027806385169927,0.064919053,394,0.12515883100381195,0.983206107,0.01059135
7895,46269,7894,2393,278,966,539,65,19,5330,589,2973,3562,13,7194,36,005,021001,36005021001,0.3031416265518115,0.13778261555124596,1589,0.29812382739212007,0.834643459,0.001807061
7925,71397,7925,1812,355,896,644,113,0,5015,570,2612,3182,0,7149,36,005,021002,36005021002,0.2286435331230284,0.063284522,1653,0.3296111665004985,0.8208673790069139,0
6268,42077,6161,1660,4,437,118,8,54,3780,201,1796,1997,96,5913,36,005,021100,36005021100,0.2694367797435481,0.10407776874298261,617,0.16322751322751322,0.899349024,0.016235413495687467
4975,66329,4919,892,264,781,203,28,13,3582,574,1720,2294,28,4629,36,005,021200,36005021200,0.18133767025818257,0.015978659257617045,1025,0.2861529871580123,0.7497820401046208,0.006048823
1323,34470,1323,263,54,105,6,0,0,780,119,345,464,50,1174,36,005,021301,36005021301,0.19879062736205594,0.033431616,111,0.1423076923076923,0.7435344827586207,0.042589438
5947,23639,5947,3050,40,327,162,0,70,3990,90,2213,2303,117,5500,36,005,021302,36005021302,0.5128636287203632,0.3475046177197977,559,0.14010025062656642,0.9609205384281372,0.021272727272727273
4665,39756,4484,1802,51,488,95,0,0,2840,90,1270,1360,3,4249,36,005,021501,36005021501,0.40187332738626225,0.23651431638569673,583,0.20528169014084507,0.9338235294117647,0.000706048
6986,19904,6601,2857,0,433,133,50,0,3735,163,2076,2239,62,6521,36,005,021502,36005021502,0.4328132101196788,0.2674541991191133,616,0.16492637215528783,0.9271996426976329,0.009507744
4421,45156,4421,1012,107,188,139,0,11,2725,222,1387,1609,29,4070,36,005,021601,36005021601,0.2289074869938928,0.063548476,338,0.12403669724770643,0.8620261031696707,0.007125307
